2017-08-09 10:47:23.099 -0700	START		Running US-Gear-05.script
2017-08-09 10:47:23.378 -0700	doubleclick	M3/Login/InforShortcut	at (39, 464)	2	on_openapplication	M3/Login.script
2017-08-09 10:47:23.402 -0700	Log		Logging in as ajenkins	2	on_login	M3/Login.script
2017-08-09 10:47:26.165 -0700	waitfor	M3/Login/InforPasswordSubmitButton	found at (563, 447)	3	on_login	M3/Login.script
2017-08-09 10:47:26.283 -0700	click	M3/Login/UsernameField	at (301, 445)	4	on_login	M3/Login.script
2017-08-09 10:47:27.004 -0700	typetext		[controlKey]a	5	on_login	M3/Login.script
2017-08-09 10:47:27.716 -0700	typetext		[deleteKey]	6	on_login	M3/Login.script
2017-08-09 10:47:28.505 -0700	typetext		ajenkins	7	on_login	M3/Login.script
2017-08-09 10:47:29.295 -0700	click	M3/Login/PasswordField	at (441, 445)	8	on_login	M3/Login.script
2017-08-09 10:47:30.109 -0700	typetext		Acushnet#1	9	on_login	M3/Login.script
2017-08-09 10:47:30.914 -0700	click	M3/Login/InforPasswordSubmitButton	at (563, 447)	10	on_login	M3/Login.script
2017-08-09 10:47:39.793 -0700	click	M3/Home/SearchField	at (688, 33)	2	on_openois300	M3/CustomerOrder.script
2017-08-09 10:47:40.561 -0700	typetext		OIS300	3	on_openois300	M3/CustomerOrder.script
2017-08-09 10:47:41.345 -0700	click	M3/Home/SearchSubmit	at (746, 35)	4	on_openois300	M3/CustomerOrder.script
2017-08-09 10:47:45.671 -0700	click	M3/OIS300/NewOrderButton	at (81, 153)	2	on_startneworder	M3/CustomerOrder.script
2017-08-09 10:47:46.623 -0700	click	M3/OIS300/CustomerNumberField	at (203, 166)	2	on_entercustomernumber	M3/CustomerOrder.script
2017-08-09 10:47:47.344 -0700	typetext		[controlKey]a	3	on_entercustomernumber	M3/CustomerOrder.script
2017-08-09 10:47:48.057 -0700	typetext		[deleteKey]	4	on_entercustomernumber	M3/CustomerOrder.script
2017-08-09 10:47:48.870 -0700	typetext		US00025065	5	on_entercustomernumber	M3/CustomerOrder.script
2017-08-09 10:47:49.583 -0700	typetext		[return]	6	on_entercustomernumber	M3/CustomerOrder.script
2017-08-09 10:47:50.387 -0700	click	M3/OIS300/NextButton	at (824, 669)	2	on_submitois100a	M3/CustomerOrder.script
2017-08-09 10:47:51.209 -0700	click	M3/OIS300/CustomersPOField	at (170, 334)	2	on_entercustomerspo	M3/CustomerOrder.script
2017-08-09 10:47:52.022 -0700	typetext		US-Gear-06	3	on_entercustomerspo	M3/CustomerOrder.script
2017-08-09 10:47:52.827 -0700	click	M3/OIS300/NextButton	at (824, 669)	2	on_submitois100g	M3/CustomerOrder.script
2017-08-09 10:47:53.623 -0700	click	M3/OIS300/OkButton	at (304, 271)	2	on_acceptpowarning	M3/CustomerOrder.script
2017-08-09 10:47:54.416 -0700	waitfor	M3/OIS300/OIS100FTitle	found at (275, 43)	2	on_submitois100f	M3/CustomerOrder.script
2017-08-09 10:47:54.528 -0700	click	M3/OIS300/NextButton	at (824, 669)	3	on_submitois100f	M3/CustomerOrder.script
2017-08-09 10:47:55.276 -0700	waitfor	M3/OIS300/OIS100HTitle	found at (277, 44)	2	on_submitois100h	M3/CustomerOrder.script
